Year,Volume,Issue#,urls
2021,17,1,https://thescipub.com/jcs/issue/1273
2021,17,2,https://thescipub.com/jcs/issue/1288
2021,17,3,https://thescipub.com/jcs/issue/1292
2021,17,4,https://thescipub.com/jcs/issue/1299
2021,17,5,https://thescipub.com/jcs/issue/1303
2021,17,6,https://thescipub.com/jcs/issue/1307
2021,17,7,https://thescipub.com/jcs/issue/1313
2021,17,8,https://thescipub.com/jcs/issue/1314
2021,17,9,https://thescipub.com/jcs/issue/1315
2021,17,10,https://thescipub.com/jcs/issue/1318
2020,16,1,https://thescipub.com/jcs/issue/1214
2020,16,2,https://thescipub.com/jcs/issue/1215
2020,16,3,https://thescipub.com/jcs/issue/1227
2020,16,4,https://thescipub.com/jcs/issue/1234
2020,16,5,https://thescipub.com/jcs/issue/1240
2020,16,6,https://thescipub.com/jcs/issue/1245
2020,16,7,https://thescipub.com/jcs/issue/1248
2020,16,8,https://thescipub.com/jcs/issue/1253
2020,16,9,https://thescipub.com/jcs/issue/1254
2020,16,10,https://thescipub.com/jcs/issue/1255
2020,16,11,https://thescipub.com/jcs/issue/1263
2020,16,12,https://thescipub.com/jcs/issue/1266
2019,15,1,https://thescipub.com/jcs/issue/1136
2019,15,2,https://thescipub.com/jcs/issue/1140
2019,15,3,https://thescipub.com/jcs/issue/1144
2019,15,4,https://thescipub.com/jcs/issue/1156
2019,15,5,https://thescipub.com/jcs/issue/1159
2019,15,6,https://thescipub.com/jcs/issue/1174
2019,15,7,https://thescipub.com/jcs/issue/1183
2019,15,8,https://thescipub.com/jcs/issue/1187
2019,15,9,https://thescipub.com/jcs/issue/1192
2019,15,10,https://thescipub.com/jcs/issue/1197
2019,15,11,https://thescipub.com/jcs/issue/1200
2019,15,12,https://thescipub.com/jcs/issue/1206
2018,14,1,https://thescipub.com/jcs/issue/1064
2018,14,2,https://thescipub.com/jcs/issue/1067
2018,14,3,https://thescipub.com/jcs/issue/1073
2018,14,4,https://thescipub.com/jcs/issue/1086
2018,14,5,https://thescipub.com/jcs/issue/1091
2018,14,6,https://thescipub.com/jcs/issue/1093
2018,14,7,https://thescipub.com/jcs/issue/1101
2018,14,8,https://thescipub.com/jcs/issue/1105
2018,14,9,https://thescipub.com/jcs/issue/1118
2018,14,10,https://thescipub.com/jcs/issue/1109
2018,14,11,https://thescipub.com/jcs/issue/1121
2018,14,12,https://thescipub.com/jcs/issue/1128
2017,13,1,https://thescipub.com/jcs/issue/970
2017,13,2,https://thescipub.com/jcs/issue/985
2017,13,3,https://thescipub.com/jcs/issue/986
2017,13,4,https://thescipub.com/jcs/issue/989
2017,13,5,https://thescipub.com/jcs/issue/990
2017,13,6,https://thescipub.com/jcs/issue/1003
2017,13,7,https://thescipub.com/jcs/issue/1011
2017,13,8,https://thescipub.com/jcs/issue/1018
2017,13,9,https://thescipub.com/jcs/issue/1013
2017,13,10,https://thescipub.com/jcs/issue/1034
2017,13,11,https://thescipub.com/jcs/issue/1045
2017,13,12,https://thescipub.com/jcs/issue/1054
2016,12,1,https://thescipub.com/jcs/issue/892
2016,12,2,https://thescipub.com/jcs/issue/893
2016,12,3,https://thescipub.com/jcs/issue/904
2016,12,4,https://thescipub.com/jcs/issue/907
2016,12,5,https://thescipub.com/jcs/issue/909
2016,12,6,https://thescipub.com/jcs/issue/927
2016,12,7,https://thescipub.com/jcs/issue/934
2016,12,8,https://thescipub.com/jcs/issue/948
2016,12,9,https://thescipub.com/jcs/issue/950
2016,12,10,https://thescipub.com/jcs/issue/951
2016,12,11,https://thescipub.com/jcs/issue/967
2016,12,12,https://thescipub.com/jcs/issue/968
2015,11,1,https://thescipub.com/jcs/issue/748
2015,11,2,https://thescipub.com/jcs/issue/755
2015,11,3,https://thescipub.com/jcs/issue/798
2015,11,4,https://thescipub.com/jcs/issue/820
2015,11,5,https://thescipub.com/jcs/issue/833
2015,11,6,https://thescipub.com/jcs/issue/841
2015,11,7,https://thescipub.com/jcs/issue/847
2015,11,8,https://thescipub.com/jcs/issue/865
2015,11,9,https://thescipub.com/jcs/issue/873
2015,11,10,https://thescipub.com/jcs/issue/879
2015,11,11,https://thescipub.com/jcs/issue/882
2015,11,12,https://thescipub.com/jcs/issue/885
2014,10,1,https://thescipub.com/jcs/issue/668
2014,10,2,https://thescipub.com/jcs/issue/670
